ProductID,Product,Product Category
101,Car Media Players,Auto & Accessories
102,Car Speakers,Auto & Accessories
103,Car Body Covers,Auto & Accessories
104,Car & Bike Care,Auto & Accessories
105,Tyre,Auto & Accessories
106,Bike Tyres,Auto & Accessories
107,Car Mat,Auto & Accessories
108,Car Seat Covers,Auto & Accessories
109,Car Pillow & Neck Rest,Auto & Accessories
110,Samsung Mobile,Electronic
111,Watch,Electronic
112,Fans,Electronic
113,Iron,Electronic
114,Tablet,Electronic
115,Mouse,Electronic
116,Keyboard,Electronic
117,Apple Laptop,Electronic
118,Mixer/Juicer,Electronic
119,LED,Electronic
120,LCD,Electronic
121,Speakers,Electronic
122,Sofa Covers,Home & Furniture
123,Bed Sheets,Home & Furniture
124,Curtains,Home & Furniture
125,Towels,Home & Furniture
126,Sofas,Home & Furniture
127,Beds,Home & Furniture
128,Dinning Tables,Home & Furniture
129,Shoe Rack,Home & Furniture
130,Umbrellas,Home & Furniture
131,Dinner Crockery,Home & Furniture
132,T - Shirts,Fashion
133,Shirts,Fashion
134,Jeans,Fashion
135,Suits,Fashion
136,Sports Wear,Fashion
137,Casula Shoes,Fashion
138,Running Shoes,Fashion
139,Formal Shoes,Fashion
140,Sneakers,Fashion
141,Titak watch,Fashion
142,Fossil Watch,Fashion
